id_cliente;razon_social;rut;pais;segmento;fecha_alta;linea_credito_clp;clasificacion_riesgo;estado;ejecutivo_cobranza
CL0001;Pescamar Ocean Foods S.A.;;BRASIL;EXPORTADOR;2013-08-08;35000000;B;ACTIVO;Nataly Poblete Ruiz
CL0002;Veracruz Marine Products Ltd.;;MEXICO;EXPORTADOR;2020-02-26;20000000;A;ACTIVO;Ximena Toro Pacheco
CL0003;Blue Harbor Trading Co. Ltd.;;ESTADOS UNIDOS;EXPORTADOR;2015-05-08;30000000;D;ACTIVO;Cristian Bravo Aguilera
CL0004;Sakana Fisheries Inc.;;JAPON;EXPORTADOR;2012-11-21;15000000;C;ACTIVO;Paula Zambrano Leiva
CL0005;Mar Ligure Food Import GmbH;;ITALIA;EXPORTADOR;2015-08-24;30000000;A;ACTIVO;Paula Zambrano Leiva
CL0006;Vigo Trading Co. Ltd.;;ESPANA;EXPORTADOR;2014-01-30;10000000;A;INACTIVO;Paula Zambrano Leiva
CL0007;Marusan International Trading LLC;;JAPON;EXPORTADOR;2013-06-01;175000000;C;ACTIVO;Paula Zambrano Leiva
CL0008;Veracruz Trading Co. Ltd.;;MEXICO;EXPORTADOR;2014-03-12;40000000;B;ACTIVO;Cristian Bravo Aguilera
CL0009;Gulfstream Food Import GmbH;;ESTADOS UNIDOS;EXPORTADOR;2016-06-20;20000000;C;ACTIVO;Hector Manriquez Salas
CL0010;Pescamar Ocean Foods S.A.;;BRASIL;EXPORTADOR;2020-11-23;10000000;B;ACTIVO;Cristian Bravo Aguilera
CL0011;Hanwoo Food Import GmbH;;COREA DEL SUR;EXPORTADOR;2018-06-05;60000000;B;ACTIVO;Hector Manriquez Salas
CL0012;Mar Ligure Seafood Corp.;;ITALIA;EXPORTADOR;2018-04-16;1935000000;A;ACTIVO;Cristian Bravo Aguilera
CL0013;Seorim Seafood Corp.;;COREA DEL SUR;EXPORTADOR;2014-10-08;25000000;C;ACTIVO;Hector Manriquez Salas
CL0014;Mar Bravo International Trading LLC;;ESPANA;EXPORTADOR;2023-11-06;415000000;B;ACTIVO;Ximena Toro Pacheco
CL0015;Chimbote Trading Co. Ltd.;;PERU;EXPORTADOR;2013-02-13;20000000;B;ACTIVO;Paula Zambrano Leiva
CL0016;Paita Seafood Corp.;;PERU;EXPORTADOR;2020-09-19;55000000;A;ACTIVO;Paula Zambrano Leiva
CL0017;Pescamar International Trading LLC;;BRASIL;EXPORTADOR;2021-03-08;35000000;B;ACTIVO;Paula Zambrano Leiva
CL0018;Sahel Food Import GmbH;;NIGERIA;EXPORTADOR;2015-10-07;265000000;A;ACTIVO;Hector Manriquez Salas
CL0019;Dalian International Trading LLC;;CHINA;EXPORTADOR;2013-11-16;10000000;C;ACTIVO;Ximena Toro Pacheco
CL0020;Busan Food Import GmbH;;COREA DEL SUR;EXPORTADOR;2021-01-02;30000000;A;ACTIVO;Hector Manriquez Salas
CL0021;Qingdao Trading Co. Ltd.;;CHINA;EXPORTADOR;2015-07-14;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0022;Hokkai Food Import GmbH;;JAPON;EXPORTADOR;2013-01-02;80000000;B;ACTIVO;Cristian Bravo Aguilera
CL0023;Qingdao Trading Co. Ltd.;;CHINA;EXPORTADOR;2021-09-20;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0024;Vostok Marine Products Ltd.;;RUSIA;EXPORTADOR;2017-09-15;190000000;A;ACTIVO;Ximena Toro Pacheco
CL0025;Mar Bravo Trading Co. Ltd.;;ESPANA;EXPORTADOR;2015-02-20;75000000;C;ACTIVO;Hector Manriquez Salas
CL0026;Hokkai Food Import GmbH;;JAPON;EXPORTADOR;2023-10-14;375000000;C;ACTIVO;Nataly Poblete Ruiz
CL0027;Tokai Ocean Foods S.A.;;JAPON;EXPORTADOR;2020-07-05;20000000;C;ACTIVO;Paula Zambrano Leiva
CL0028;Veracruz Seafood Corp.;;MEXICO;EXPORTADOR;2015-12-08;275000000;C;ACTIVO;Ximena Toro Pacheco
CL0029;Hanwoo Trading Co. Ltd.;;COREA DEL SUR;EXPORTADOR;2022-04-13;25000000;B;ACTIVO;Ximena Toro Pacheco
CL0030;Sahel Seafood Corp.;;NIGERIA;EXPORTADOR;2021-09-06;10000000;C;INACTIVO;Hector Manriquez Salas
CL0031;Qingdao Trading Co. Ltd.;;CHINA;EXPORTADOR;2015-03-24;70000000;C;ACTIVO;Nataly Poblete Ruiz
CL0032;Hokkai Food Import GmbH;;JAPON;EXPORTADOR;2022-11-19;6710000000;B;ACTIVO;Ximena Toro Pacheco
CL0033;Gulfstream Seafood Corp.;;ESTADOS UNIDOS;EXPORTADOR;2013-07-07;15000000;A;ACTIVO;Nataly Poblete Ruiz
CL0034;Vigo Ocean Foods S.A.;;ESPANA;EXPORTADOR;2013-02-01;905000000;A;ACTIVO;Cristian Bravo Aguilera
CL0035;Fujian International Trading LLC;;CHINA;EXPORTADOR;2023-10-26;10000000;C;ACTIVO;Nataly Poblete Ruiz
CL0036;Rongcheng Fisheries Inc.;;CHINA;EXPORTADOR;2021-08-12;10000000;A;INACTIVO;Paula Zambrano Leiva
CL0037;Dalian Food Import GmbH;;CHINA;EXPORTADOR;2022-09-26;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0038;Sakana Food Import GmbH;;JAPON;EXPORTADOR;2017-02-05;30000000;D;ACTIVO;Ximena Toro Pacheco
CL0039;Zhoushan Ocean Foods S.A.;;CHINA;EXPORTADOR;2015-08-05;50000000;B;ACTIVO;Nataly Poblete Ruiz
CL0040;Atlantico Seafood Corp.;;BRASIL;EXPORTADOR;2020-05-20;85000000;C;ACTIVO;Hector Manriquez Salas
CL0041;Murmansk Ocean Foods S.A.;;RUSIA;EXPORTADOR;2023-08-21;210000000;B;ACTIVO;Paula Zambrano Leiva
CL0042;Vigo Trading Co. Ltd.;;ESPANA;EXPORTADOR;2017-12-23;35000000;B;ACTIVO;Hector Manriquez Salas
CL0043;Lagos Ocean Foods S.A.;;NIGERIA;EXPORTADOR;2016-11-21;10000000;B;ACTIVO;Cristian Bravo Aguilera
CL0044;Callao Food Import GmbH;;PERU;EXPORTADOR;2016-03-10;105000000;D;ACTIVO;Hector Manriquez Salas
CL0045;Marusan Marine Products Ltd.;;JAPON;EXPORTADOR;2023-05-31;80000000;C;ACTIVO;Paula Zambrano Leiva
CL0046;Delta Food Import GmbH;;NIGERIA;EXPORTADOR;2022-07-09;20000000;A;ACTIVO;Ximena Toro Pacheco
CL0047;Marusan Ocean Foods S.A.;;JAPON;EXPORTADOR;2022-08-27;65000000;A;ACTIVO;Hector Manriquez Salas
CL0048;Zhoushan International Trading LLC;;CHINA;EXPORTADOR;2016-04-13;795000000;B;ACTIVO;Hector Manriquez Salas
CL0049;Sakana Fisheries Inc.;;JAPON;EXPORTADOR;2012-09-01;550000000;A;ACTIVO;Paula Zambrano Leiva
CL0050;Sao Pedro Food Import GmbH;;BRASIL;EXPORTADOR;2013-03-07;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0051;Daesung International Trading LLC;;COREA DEL SUR;EXPORTADOR;2013-06-12;165000000;B;ACTIVO;Nataly Poblete Ruiz
CL0052;Cantabrico Trading Co. Ltd.;;ESPANA;EXPORTADOR;2023-07-11;145000000;C;ACTIVO;Nataly Poblete Ruiz
CL0053;Hai Phong International Trading LLC;;VIETNAM;EXPORTADOR;2017-12-11;25000000;C;ACTIVO;Ximena Toro Pacheco
CL0054;Cascadia Ocean Foods S.A.;;ESTADOS UNIDOS;EXPORTADOR;2023-07-24;20000000;B;ACTIVO;Ximena Toro Pacheco
CL0055;Qingdao Food Import GmbH;;CHINA;EXPORTADOR;2020-11-04;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0056;Pescamar Food Import GmbH;;BRASIL;EXPORTADOR;2022-01-18;290000000;B;ACTIVO;Nataly Poblete Ruiz
CL0057;Gulfstream Marine Products Ltd.;;ESTADOS UNIDOS;EXPORTADOR;2021-03-17;75000000;C;ACTIVO;Cristian Bravo Aguilera
CL0058;Zhoushan Fisheries Inc.;;CHINA;EXPORTADOR;2018-09-08;150000000;B;ACTIVO;Paula Zambrano Leiva
CL0059;Northstar Marine Products Ltd.;;ESTADOS UNIDOS;EXPORTADOR;2018-04-30;135000000;A;ACTIVO;Hector Manriquez Salas
CL0060;Sakana Trading Co. Ltd.;;JAPON;EXPORTADOR;2016-12-31;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0061;Hanwoo Food Import GmbH;;COREA DEL SUR;EXPORTADOR;2016-05-08;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0062;Sao Pedro Trading Co. Ltd.;;BRASIL;EXPORTADOR;2016-03-18;575000000;A;ACTIVO;Hector Manriquez Salas
