fecha;moneda;tipo_cambio_clp;tipo_publicacion
2024-01-01;USD;872.00;ARRASTRE
2024-01-01;CLP;1.00;ARRASTRE
2024-01-02;USD;875.97;OBSERVADO
2024-01-02;CLP;1.00;OBSERVADO
2024-01-03;USD;873.74;OBSERVADO
2024-01-03;CLP;1.00;OBSERVADO
2024-01-04;USD;869.85;OBSERVADO
2024-01-04;CLP;1.00;OBSERVADO
2024-01-05;USD;860.63;OBSERVADO
2024-01-05;CLP;1.00;OBSERVADO
2024-01-06;USD;860.63;ARRASTRE
2024-01-06;CLP;1.00;ARRASTRE
2024-01-07;USD;860.63;ARRASTRE
2024-01-07;CLP;1.00;ARRASTRE
2024-01-08;USD;856.21;OBSERVADO
2024-01-08;CLP;1.00;OBSERVADO
2024-01-09;USD;858.92;OBSERVADO
2024-01-09;CLP;1.00;OBSERVADO
2024-01-10;USD;854.40;OBSERVADO
2024-01-10;CLP;1.00;OBSERVADO
2024-01-11;USD;857.18;OBSERVADO
2024-01-11;CLP;1.00;OBSERVADO
2024-01-12;USD;857.75;OBSERVADO
2024-01-12;CLP;1.00;OBSERVADO
2024-01-13;USD;857.75;ARRASTRE
2024-01-13;CLP;1.00;ARRASTRE
2024-01-14;USD;857.75;ARRASTRE
2024-01-14;CLP;1.00;ARRASTRE
2024-01-15;USD;853.19;OBSERVADO
2024-01-15;CLP;1.00;OBSERVADO
2024-01-16;USD;857.63;OBSERVADO
2024-01-16;CLP;1.00;OBSERVADO
2024-01-17;USD;857.43;OBSERVADO
2024-01-17;CLP;1.00;OBSERVADO
2024-01-18;USD;859.30;OBSERVADO
2024-01-18;CLP;1.00;OBSERVADO
2024-01-19;USD;853.77;OBSERVADO
2024-01-19;CLP;1.00;OBSERVADO
2024-01-20;USD;853.77;ARRASTRE
2024-01-20;CLP;1.00;ARRASTRE
2024-01-21;USD;853.77;ARRASTRE
2024-01-21;CLP;1.00;ARRASTRE
2024-01-22;USD;857.97;OBSERVADO
2024-01-22;CLP;1.00;OBSERVADO
2024-01-23;USD;857.39;OBSERVADO
2024-01-23;CLP;1.00;OBSERVADO
2024-01-24;USD;854.00;OBSERVADO
2024-01-24;CLP;1.00;OBSERVADO
2024-01-25;USD;852.40;OBSERVADO
2024-01-25;CLP;1.00;OBSERVADO
2024-01-26;USD;858.89;OBSERVADO
2024-01-26;CLP;1.00;OBSERVADO
2024-01-27;USD;858.89;ARRASTRE
2024-01-27;CLP;1.00;ARRASTRE
2024-01-28;USD;858.89;ARRASTRE
2024-01-28;CLP;1.00;ARRASTRE
2024-01-29;USD;857.46;OBSERVADO
2024-01-29;CLP;1.00;OBSERVADO
2024-01-30;USD;853.78;OBSERVADO
2024-01-30;CLP;1.00;OBSERVADO
2024-01-31;USD;851.39;OBSERVADO
2024-01-31;CLP;1.00;OBSERVADO
2024-02-01;USD;853.26;OBSERVADO
2024-02-01;CLP;1.00;OBSERVADO
2024-02-02;USD;849.13;OBSERVADO
2024-02-02;CLP;1.00;OBSERVADO
2024-02-03;USD;849.13;ARRASTRE
2024-02-03;CLP;1.00;ARRASTRE
2024-02-04;USD;849.13;ARRASTRE
2024-02-04;CLP;1.00;ARRASTRE
2024-02-05;USD;845.95;OBSERVADO
2024-02-05;CLP;1.00;OBSERVADO
2024-02-06;USD;845.50;OBSERVADO
2024-02-06;CLP;1.00;OBSERVADO
2024-02-07;USD;838.76;OBSERVADO
2024-02-07;CLP;1.00;OBSERVADO
2024-02-08;USD;835.14;OBSERVADO
2024-02-08;CLP;1.00;OBSERVADO
2024-02-09;USD;834.16;OBSERVADO
2024-02-09;CLP;1.00;OBSERVADO
2024-02-10;USD;834.16;ARRASTRE
2024-02-10;CLP;1.00;ARRASTRE
2024-02-11;USD;834.16;ARRASTRE
2024-02-11;CLP;1.00;ARRASTRE
2024-02-12;USD;830.80;OBSERVADO
2024-02-12;CLP;1.00;OBSERVADO
2024-02-13;USD;831.23;OBSERVADO
2024-02-13;CLP;1.00;OBSERVADO
2024-02-14;USD;833.27;OBSERVADO
2024-02-14;CLP;1.00;OBSERVADO
2024-02-15;USD;840.12;OBSERVADO
2024-02-15;CLP;1.00;OBSERVADO
2024-02-16;USD;843.84;OBSERVADO
2024-02-16;CLP;1.00;OBSERVADO
2024-02-17;USD;843.84;ARRASTRE
2024-02-17;CLP;1.00;ARRASTRE
2024-02-18;USD;843.84;ARRASTRE
2024-02-18;CLP;1.00;ARRASTRE
2024-02-19;USD;840.13;OBSERVADO
2024-02-19;CLP;1.00;OBSERVADO
2024-02-20;USD;837.20;OBSERVADO
2024-02-20;CLP;1.00;OBSERVADO
2024-02-21;USD;839.77;OBSERVADO
2024-02-21;CLP;1.00;OBSERVADO
2024-02-22;USD;837.78;OBSERVADO
2024-02-22;CLP;1.00;OBSERVADO
2024-02-23;USD;836.20;OBSERVADO
2024-02-23;CLP;1.00;OBSERVADO
2024-02-24;USD;836.20;ARRASTRE
2024-02-24;CLP;1.00;ARRASTRE
2024-02-25;USD;836.20;ARRASTRE
2024-02-25;CLP;1.00;ARRASTRE
2024-02-26;USD;838.04;OBSERVADO
2024-02-26;CLP;1.00;OBSERVADO
2024-02-27;USD;836.66;OBSERVADO
2024-02-27;CLP;1.00;OBSERVADO
2024-02-28;USD;845.62;OBSERVADO
2024-02-28;CLP;1.00;OBSERVADO
2024-02-29;USD;845.54;OBSERVADO
2024-02-29;CLP;1.00;OBSERVADO
2024-03-01;USD;849.34;OBSERVADO
2024-03-01;CLP;1.00;OBSERVADO
2024-03-02;USD;849.34;ARRASTRE
2024-03-02;CLP;1.00;ARRASTRE
2024-03-03;USD;849.34;ARRASTRE
2024-03-03;CLP;1.00;ARRASTRE
2024-03-04;USD;850.84;OBSERVADO
2024-03-04;CLP;1.00;OBSERVADO
2024-03-05;USD;855.33;OBSERVADO
2024-03-05;CLP;1.00;OBSERVADO
2024-03-06;USD;855.47;OBSERVADO
2024-03-06;CLP;1.00;OBSERVADO
2024-03-07;USD;856.43;OBSERVADO
2024-03-07;CLP;1.00;OBSERVADO
2024-03-08;USD;854.95;OBSERVADO
2024-03-08;CLP;1.00;OBSERVADO
2024-03-09;USD;854.95;ARRASTRE
2024-03-09;CLP;1.00;ARRASTRE
2024-03-10;USD;854.95;ARRASTRE
2024-03-10;CLP;1.00;ARRASTRE
2024-03-11;USD;849.12;OBSERVADO
2024-03-11;CLP;1.00;OBSERVADO
2024-03-12;USD;850.98;OBSERVADO
2024-03-12;CLP;1.00;OBSERVADO
2024-03-13;USD;846.04;OBSERVADO
2024-03-13;CLP;1.00;OBSERVADO
2024-03-14;USD;852.66;OBSERVADO
2024-03-14;CLP;1.00;OBSERVADO
2024-03-15;USD;854.99;OBSERVADO
2024-03-15;CLP;1.00;OBSERVADO
2024-03-16;USD;854.99;ARRASTRE
2024-03-16;CLP;1.00;ARRASTRE
2024-03-17;USD;854.99;ARRASTRE
2024-03-17;CLP;1.00;ARRASTRE
2024-03-18;USD;859.28;OBSERVADO
2024-03-18;CLP;1.00;OBSERVADO
2024-03-19;USD;856.19;OBSERVADO
2024-03-19;CLP;1.00;OBSERVADO
2024-03-20;USD;856.80;OBSERVADO
2024-03-20;CLP;1.00;OBSERVADO
2024-03-21;USD;856.59;OBSERVADO
2024-03-21;CLP;1.00;OBSERVADO
2024-03-22;USD;851.42;OBSERVADO
2024-03-22;CLP;1.00;OBSERVADO
2024-03-23;USD;851.42;ARRASTRE
2024-03-23;CLP;1.00;ARRASTRE
2024-03-24;USD;851.42;ARRASTRE
2024-03-24;CLP;1.00;ARRASTRE
2024-03-25;USD;854.28;OBSERVADO
2024-03-25;CLP;1.00;OBSERVADO
2024-03-26;USD;847.91;OBSERVADO
2024-03-26;CLP;1.00;OBSERVADO
2024-03-27;USD;846.35;OBSERVADO
2024-03-27;CLP;1.00;OBSERVADO
2024-03-28;USD;852.88;OBSERVADO
2024-03-28;CLP;1.00;OBSERVADO
2024-03-29;USD;852.88;ARRASTRE
2024-03-29;CLP;1.00;ARRASTRE
2024-03-30;USD;852.88;ARRASTRE
2024-03-30;CLP;1.00;ARRASTRE
2024-03-31;USD;852.88;ARRASTRE
2024-03-31;CLP;1.00;ARRASTRE
2024-04-01;USD;848.78;OBSERVADO
2024-04-01;CLP;1.00;OBSERVADO
2024-04-02;USD;838.75;OBSERVADO
2024-04-02;CLP;1.00;OBSERVADO
