id_cobranza;id_documento;fecha_pago;moneda;monto_pagado;medio_pago;id_operacion_factoring
COB-000059;DOC-2024-00944;2024-01-10;CLP;1056566;TRANSFERENCIA;
COB-000095;DOC-2024-01411;2024-01-15;CLP;10599551;TRANSFERENCIA;
COB-000005;DOC-2024-00472;2024-01-24;CLP;5776171;TRANSFERENCIA;
COB-000129;DOC-2024-00822;2024-01-26;CLP;2282813;TRANSFERENCIA;
COB-000040;DOC-2024-01471;2024-01-29;CLP;1649619;TRANSFERENCIA;
COB-000061;DOC-2024-00981;2024-01-31;CLP;956540;TRANSFERENCIA;
COB-000076;DOC-2024-01573;2024-02-01;CLP;6019227;TRANSFERENCIA;
COB-000008;DOC-2024-00796;2024-02-08;CLP;2769751;TRANSFERENCIA;
COB-000016;DOC-2024-01391;2024-02-08;CLP;2895622;TRANSFERENCIA;
COB-000025;DOC-2024-01955;2024-02-08;CLP;9801356;TRANSFERENCIA;
COB-000029;DOC-2024-01640;2024-02-08;CLP;14082001;TRANSFERENCIA;
COB-000130;DOC-2024-00952;2024-02-09;CLP;7155375;TRANSFERENCIA;
COB-000006;DOC-2024-00759;2024-02-12;CLP;5101877;TRANSFERENCIA;
COB-000116;DOC-2024-01766;2024-02-13;CLP;9767641;TRANSFERENCIA;
COB-000057;DOC-2024-00620;2024-02-15;CLP;1322635;TRANSFERENCIA;
COB-000108;DOC-2024-00420;2024-02-15;CLP;8764639;CHEQUE;
COB-000184;DOC-2024-02000;2024-02-16;CLP;63986461;TRANSFERENCIA;
COB-000030;DOC-2024-02005;2024-02-19;CLP;14950679;TRANSFERENCIA;
COB-000042;DOC-2024-01594;2024-02-19;CLP;9773740;TRANSFERENCIA;
COB-000064;DOC-2024-01269;2024-02-19;CLP;2233685;TRANSFERENCIA;
COB-000075;DOC-2024-01331;2024-02-19;CLP;6352620;TRANSFERENCIA;
COB-000112;DOC-2024-00957;2024-02-19;CLP;1181306;TRANSFERENCIA;
COB-000138;DOC-2024-00724;2024-02-19;CLP;8785244;TRANSFERENCIA;
COB-000111;DOC-2024-00919;2024-02-20;CLP;6177643;TRANSFERENCIA;
COB-000009;DOC-2024-00796;2024-02-21;CLP;2008968;TRANSFERENCIA;
COB-000060;DOC-2024-00944;2024-02-21;CLP;954179;TRANSFERENCIA;
COB-000027;DOC-2024-00896;2024-02-22;CLP;2767067;CHEQUE;
COB-000145;DOC-2024-01264;2024-02-22;CLP;14300132;TRANSFERENCIA;
COB-000212;DOC-2024-01546;2024-02-22;CLP;8652802;TRANSFERENCIA;
COB-000019;DOC-2024-01547;2024-02-23;CLP;3823077;TRANSFERENCIA;
COB-000062;DOC-2024-01183;2024-02-23;CLP;3381914;TRANSFERENCIA;
COB-000096;DOC-2024-01421;2024-02-23;CLP;12342814;TRANSFERENCIA;
COB-000128;DOC-2024-00819;2024-02-26;CLP;31200442;TRANSFERENCIA;
COB-000160;DOC-2024-00976;2024-02-26;CLP;7760222;TRANSFERENCIA;
COB-000183;DOC-2024-01685;2024-02-26;CLP;6054680;TRANSFERENCIA;
COB-000231;DOC-2024-01744;2024-02-26;CLP;15188671;COMPENSACION;
COB-000238;DOC-2024-00735;2024-02-26;CLP;4455672;TRANSFERENCIA;
COB-000013;DOC-2024-01206;2024-02-27;CLP;1681732;TRANSFERENCIA;
COB-000121;DOC-2024-00739;2024-02-27;CLP;1620444;TRANSFERENCIA;
COB-000241;DOC-2024-01512;2024-02-27;CLP;10043532;TRANSFERENCIA;
COB-000007;DOC-2024-00759;2024-02-28;CLP;4278024;TRANSFERENCIA;
COB-000162;DOC-2024-01389;2024-02-28;CLP;53237612;CHEQUE;
COB-000170;DOC-2024-01403;2024-02-28;CLP;1862785;COMPENSACION;
COB-000002;DOC-2024-00159;2024-02-29;USD;41229.66;CHEQUE;
COB-000046;DOC-2024-01981;2024-02-29;CLP;4722518;TRANSFERENCIA;
COB-000055;DOC-2024-01878;2024-02-29;CLP;15760213;TRANSFERENCIA;
COB-000001;DOC-2024-00015;2024-03-04;CLP;51527074;TRANSFERENCIA;
COB-000018;DOC-2024-01442;2024-03-04;CLP;11237794;CHEQUE;
COB-000026;DOC-2024-00887;2024-03-04;CLP;1113844;COMPENSACION;
COB-000050;DOC-2024-01237;2024-03-04;CLP;735011;TRANSFERENCIA;
COB-000142;DOC-2024-01019;2024-03-04;CLP;8041261;TRANSFERENCIA;
COB-000178;DOC-2024-01227;2024-03-04;CLP;9075849;TRANSFERENCIA;
COB-000187;DOC-2024-00520;2024-03-04;CLP;2441555;TRANSFERENCIA;
COB-000246;DOC-2024-00886;2024-03-04;CLP;1320653;TRANSFERENCIA;
COB-000277;DOC-2024-01477;2024-03-04;CLP;1126557;TRANSFERENCIA;
COB-000004;DOC-2024-00316;2024-03-05;USD;24166.54;TRANSFERENCIA;
COB-000023;DOC-2024-01863;2024-03-06;CLP;1690673;TRANSFERENCIA;
COB-000031;DOC-2024-00313;2024-03-06;USD;16491.82;TRANSFERENCIA;
COB-000109;DOC-2024-00670;2024-03-06;CLP;6969806;COMPENSACION;
COB-000136;DOC-2024-00426;2024-03-06;CLP;9231187;CHEQUE;
COB-000288;DOC-2024-01946;2024-03-06;CLP;33532066;CHEQUE;
COB-000289;DOC-2024-02003;2024-03-06;CLP;36876424;TRANSFERENCIA;
COB-000204;DOC-2024-01651;2024-03-07;CLP;1356706;TRANSFERENCIA;
COB-004276;DOC-2024-96049;2024-03-07;CLP;3790739;CHEQUE;
COB-000043;DOC-2024-01660;2024-03-08;CLP;3937490;TRANSFERENCIA;
COB-000141;DOC-2024-00987;2024-03-08;CLP;3362406;TRANSFERENCIA;
COB-000168;DOC-2024-00989;2024-03-08;CLP;8020011;TRANSFERENCIA;
COB-000256;DOC-2024-01506;2024-03-08;CLP;14068657;TRANSFERENCIA;
COB-000003;DOC-2024-00258;2024-03-11;USD;68498.19;TRANSFERENCIA;
COB-000077;DOC-2024-01793;2024-03-11;CLP;11317007;TRANSFERENCIA;
COB-000122;DOC-2024-01327;2024-03-11;CLP;3700056;TRANSFERENCIA;
COB-000131;DOC-2024-01488;2024-03-11;CLP;9293253;TRANSFERENCIA;
COB-000197;DOC-2024-01518;2024-03-11;CLP;2483080;TRANSFERENCIA;
COB-000213;DOC-2024-01613;2024-03-11;CLP;2898242;TRANSFERENCIA;
COB-000058;DOC-2024-00620;2024-03-12;CLP;1573708;TRANSFERENCIA;
COB-000086;DOC-2024-00442;2024-03-12;CLP;1189261;CHEQUE;
COB-000088;DOC-2024-00513;2024-03-12;CLP;5211629;TRANSFERENCIA;
COB-000320;DOC-2024-00451;2024-03-13;CLP;2949438;TRANSFERENCIA;
COB-000049;DOC-2024-01186;2024-03-15;CLP;2648069;TRANSFERENCIA;
COB-000090;DOC-2024-00651;2024-03-15;CLP;5733018;CHEQUE;
COB-000117;DOC-2024-00098;2024-03-15;USD;4146.09;TRANSFERENCIA;
COB-000152;DOC-2024-01724;2024-03-15;CLP;5474972;TRANSFERENCIA;
COB-000164;DOC-2024-00326;2024-03-15;USD;45986.9;TRANSFERENCIA;
COB-000226;DOC-2024-01054;2024-03-15;CLP;7374783;TRANSFERENCIA;
COB-000010;DOC-2024-00833;2024-03-18;CLP;10233118;TRANSFERENCIA;
COB-000053;DOC-2024-01468;2024-03-18;CLP;1052787;TRANSFERENCIA;
COB-000113;DOC-2024-00957;2024-03-18;CLP;1391448;TRANSFERENCIA;
COB-000125;DOC-2024-00163;2024-03-18;USD;9163.58;TRANSFERENCIA;
COB-000169;DOC-2024-01330;2024-03-18;CLP;19157561;TRANSFERENCIA;
COB-000208;DOC-2024-00435;2024-03-18;CLP;9128705;TRANSFERENCIA;
COB-000254;DOC-2024-00902;2024-03-18;CLP;7468014;TRANSFERENCIA;
COB-000261;DOC-2024-01909;2024-03-18;CLP;4438232;TRANSFERENCIA;
COB-000270;DOC-2024-00799;2024-03-18;CLP;29026049;TRANSFERENCIA;
COB-000299;DOC-2024-00943;2024-03-18;CLP;6269297;TRANSFERENCIA;
COB-000011;DOC-2024-00885;2024-03-19;CLP;12177086;TRANSFERENCIA;
COB-000063;DOC-2024-01183;2024-03-19;CLP;3071258;TRANSFERENCIA;
COB-000224;DOC-2024-00797;2024-03-19;CLP;20050704;COMPENSACION;
COB-000396;DOC-2024-00209;2024-03-19;USD;20202.7;FACTORING;FCT-2024-0001
COB-000174;DOC-2024-00517;2024-03-20;CLP;4307312;TRANSFERENCIA;
COB-000244;DOC-2024-00431;2024-03-20;CLP;4796726;TRANSFERENCIA;
COB-000409;DOC-2024-01746;2024-03-20;CLP;19895517;CHEQUE;
COB-000017;DOC-2024-01420;2024-03-21;CLP;6167790;TRANSFERENCIA;
COB-000033;DOC-2024-01491;2024-03-21;CLP;14981171;TRANSFERENCIA;
COB-000553;DOC-2024-01167;2024-03-21;CLP;720058;TRANSFERENCIA;
COB-000554;DOC-2024-01556;2024-03-21;CLP;8919452;TRANSFERENCIA;
COB-000147;DOC-2024-01417;2024-03-22;CLP;3660634;TRANSFERENCIA;
COB-000266;DOC-2024-00474;2024-03-22;CLP;4256839;CHEQUE;
COB-000348;DOC-2024-00428;2024-03-22;CLP;17556320;TRANSFERENCIA;
COB-000353;DOC-2024-01346;2024-03-22;CLP;2650901;TRANSFERENCIA;
COB-000024;DOC-2024-01863;2024-03-25;CLP;1302100;TRANSFERENCIA;
COB-000054;DOC-2024-01700;2024-03-25;CLP;31993750;TRANSFERENCIA;
