id_documento;tipo_documento;folio;id_cliente;id_vendedor;id_condicion;linea_negocio;fecha_emision;fecha_vencimiento;moneda;monto_neto;monto_iva;monto_total;estado_sii;centro_costo
DOC-2024-00015;FEX;50015;CL0018;V003;CP60;EXPORTACION;2024-01-02;2024-03-02;CLP;51527074;0;51527074;ACEPTADO;PLANTA_CORONEL
DOC-2024-00159;FEX;50159;CL0049;V003;CP60;EXPORTACION;2024-01-02;2024-03-02;USD;41229.66;0;41229.66;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00258;FEX;50258;CL0032;V002;CP60;EXPORTACION;2024-01-02;2024-03-02;USD;68498.19;0;68498.19;ACEPTADO;PLANTA_CALDERA
DOC-2024-00316;FEX;50316;CL0010;V003;CP60;EXPORTACION;2024-01-02;2024-03-02;USD;24166.54;0;24166.54;ACEPTADO;PLANTA_CALDERA
DOC-2024-00472;FAC;100086;CL0114;V008;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;4853925;922246;5776171;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00759;FAC;100356;CL0073;V005;CP45;FOODSERVICE;2024-01-02;2024-02-16;CLP;7882270;1497631;9379901;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00796;FAC;100390;CL0073;V005;CP45;FOODSERVICE;2024-01-02;2024-02-16;CLP;4015730;762989;4778719;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00833;FAC;100426;CL0100;V008;CP45;FOODSERVICE;2024-01-02;2024-02-16;CLP;8599259;1633859;10233118;ACEPTADO;CD_SANTIAGO
DOC-2024-00885;FEE;8031;CL0074;V007;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;20533174;0;20533174;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00973;FAC;100551;CL0172;V005;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;1491109;283311;1774420;RECLAMADO;CD_SANTIAGO
DOC-2024-01206;FAC;100760;CL0127;V008;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;1413220;268512;1681732;ACEPTADO;CD_SANTIAGO
DOC-2024-01279;FAC;100828;CL0090;V007;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;3335055;633660;3968715;ACEPTADO;CD_SANTIAGO
DOC-2024-01383;FAC;100922;CL0205;V007;CP30;FOODSERVICE;2024-01-02;2024-02-01;CLP;7022857;1334343;8357200;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01391;FAC;100930;CL0221;V005;CP45;FOODSERVICE;2024-01-02;2024-02-16;CLP;2433296;462326;2895622;ACEPTADO;PLANTA_CORONEL
DOC-2024-01420;FAC;100958;CL0102;V008;CP60;FOODSERVICE;2024-01-02;2024-03-02;CLP;5183017;984773;6167790;ACEPTADO;CD_SANTIAGO
DOC-2024-01442;FAC;100978;CL0113;V005;CP60;FOODSERVICE;2024-01-02;2024-03-02;CLP;9443524;1794270;11237794;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01547;FAC;101074;CL0168;V005;CP60;FOODSERVICE;2024-01-02;2024-03-02;CLP;3212670;610407;3823077;ACEPTADO;CD_SANTIAGO
DOC-2024-01566;FAC;101093;CL0211;V006;CP45;FOODSERVICE;2024-01-02;2024-02-16;CLP;2664935;506338;3171273;ACEPTADO;PLANTA_CORONEL
DOC-2024-01863;FAC;101369;CL0264;V010;CP60;RETAIL;2024-01-02;2024-03-02;CLP;2514935;477838;2992773;ACEPTADO;PLANTA_CORONEL
