id_nota_credito;folio_nc;id_documento_referencia;fecha_emision;motivo;moneda;monto_total
NC-00001;3001;DOC-2024-00093;2024-01-15;ANULACION;USD;74860.31
NC-00054;3054;DOC-2024-00442;2024-01-17;DEVOLUCION;CLP;926926
NC-00196;3196;DOC-2024-00425;2024-02-06;AJUSTE_CALIDAD;CLP;7164998
NC-00056;3056;DOC-2024-01958;2024-02-18;DESCUENTO;CLP;2968396
NC-00055;3055;DOC-2024-01286;2024-02-25;DEVOLUCION;CLP;5342730
NC-00002;3002;DOC-2024-00914;2024-02-27;ANULACION;CLP;10080671
NC-00052;3052;DOC-2024-01955;2024-03-04;DESCUENTO;CLP;1662991
NC-00061;3061;DOC-2024-01274;2024-03-04;DESCUENTO;CLP;416478
NC-00053;3053;DOC-2024-01186;2024-03-07;DESCUENTO;CLP;121531
NC-00197;3197;DOC-2024-00601;2024-03-08;AJUSTE_CALIDAD;CLP;3307076
NC-00059;3059;DOC-2024-01612;2024-03-09;DESCUENTO;CLP;742386
NC-00003;3003;DOC-2024-01848;2024-03-13;ANULACION;CLP;155390293
NC-00004;3004;DOC-2024-00348;2024-03-14;ANULACION;USD;63524.98
NC-00057;3057;DOC-2024-02000;2024-03-19;DEVOLUCION;CLP;27703226
NC-00195;3195;DOC-2024-01471;2024-03-19;AJUSTE_CALIDAD;CLP;537862
NC-00058;3058;DOC-2024-00371;2024-03-24;DESCUENTO;USD;2791.61
NC-00060;3060;DOC-2024-01439;2024-03-24;DEVOLUCION;CLP;2263433
NC-00006;3006;DOC-2024-00160;2024-04-01;ANULACION;USD;81937.98
NC-00005;3005;DOC-2024-01484;2024-04-03;ANULACION;CLP;18615669
NC-00064;3064;DOC-2024-01152;2024-04-06;DESCUENTO;CLP;350741
NC-00062;3062;DOC-2024-01393;2024-04-09;DESCUENTO;CLP;352349
NC-00007;3007;DOC-2024-01622;2024-04-15;ANULACION;CLP;14826643
NC-00065;3065;DOC-2024-00883;2024-04-17;DEVOLUCION;CLP;4238295
NC-00198;3198;DOC-2024-00529;2024-04-17;AJUSTE_CALIDAD;CLP;3033636
NC-00008;3008;DOC-2024-01648;2024-05-03;ANULACION;CLP;4381105
NC-00199;3199;DOC-2024-00065;2024-05-05;AJUSTE_CALIDAD;USD;14013.29
NC-00009;3009;DOC-2024-00412;2024-05-06;ANULACION;CLP;14551181
NC-00202;3202;DOC-2024-01656;2024-05-07;AJUSTE_CALIDAD;CLP;3460041
NC-00063;3063;DOC-2024-00180;2024-05-13;DESCUENTO;USD;557.36
NC-00209;3209;DOC-2024-00545;2024-05-15;AJUSTE_CALIDAD;CLP;842674
NC-00067;3067;DOC-2024-00671;2024-05-16;DEVOLUCION;CLP;1505319
NC-00201;3201;DOC-2024-01152;2024-05-16;AJUSTE_CALIDAD;CLP;1451576
NC-00206;3206;DOC-2024-00495;2024-05-20;AJUSTE_CALIDAD;CLP;4197992
NC-00071;3071;DOC-2024-01880;2024-05-22;DESCUENTO;CLP;2363472
NC-00200;3200;DOC-2024-00888;2024-05-23;AJUSTE_CALIDAD;CLP;7122588
NC-00069;3069;DOC-2024-00019;2024-05-24;DESCUENTO;USD;2128.22
NC-00010;3010;DOC-2024-01959;2024-06-02;ANULACION;CLP;8840981
NC-00066;3066;DOC-2024-01643;2024-06-02;DESCUENTO;CLP;710161
NC-00203;3203;DOC-2024-00898;2024-06-02;AJUSTE_CALIDAD;CLP;1387530
NC-00077;3077;DOC-2024-00555;2024-06-07;DESCUENTO;CLP;238033
NC-00072;3072;DOC-2024-00869;2024-06-08;DEVOLUCION;CLP;974286
NC-00207;3207;DOC-2024-00997;2024-06-08;AJUSTE_CALIDAD;CLP;4926034
NC-00011;3011;DOC-2024-01927;2024-06-13;ANULACION;CLP;17132895
NC-00068;3068;DOC-2024-00915;2024-06-13;DEVOLUCION;CLP;1572753
NC-00204;3204;DOC-2024-00793;2024-06-17;AJUSTE_CALIDAD;CLP;4953929
NC-00211;3211;DOC-2024-00706;2024-06-19;AJUSTE_CALIDAD;CLP;1005413
NC-00210;3210;DOC-2024-00540;2024-06-22;AJUSTE_CALIDAD;CLP;2370905
NC-00205;3205;DOC-2024-01621;2024-06-24;AJUSTE_CALIDAD;CLP;4240437
NC-00208;3208;DOC-2024-01734;2024-06-30;AJUSTE_CALIDAD;CLP;1504978
NC-00075;3075;DOC-2024-01805;2024-07-05;DEVOLUCION;CLP;1421754
NC-00079;3079;DOC-2024-00963;2024-07-05;DESCUENTO;CLP;641697
NC-00070;3070;DOC-2024-01066;2024-07-06;DESCUENTO;CLP;500188
NC-00012;3012;DOC-2024-01524;2024-07-08;ANULACION;CLP;16283333
NC-00073;3073;DOC-2024-01611;2024-07-08;DESCUENTO;CLP;654565
NC-00076;3076;DOC-2024-00582;2024-07-15;DEVOLUCION;CLP;3855978
NC-00074;3074;DOC-2024-01820;2024-07-20;DESCUENTO;CLP;1189607
NC-00212;3212;DOC-2024-00881;2024-07-23;AJUSTE_CALIDAD;CLP;2845412
NC-00013;3013;DOC-2024-00760;2024-07-25;ANULACION;CLP;1636839
NC-00214;3214;DOC-2024-01149;2024-07-26;AJUSTE_CALIDAD;CLP;9480784
NC-00080;3080;DOC-2024-01779;2024-07-29;DEVOLUCION;CLP;696013
NC-00086;3086;DOC-2024-00982;2024-07-31;DESCUENTO;CLP;302575
NC-00213;3213;DOC-2024-01154;2024-07-31;AJUSTE_CALIDAD;CLP;4802704
NC-00087;3087;DOC-2024-01835;2024-08-01;DEVOLUCION;CLP;4105519
NC-00082;3082;DOC-2024-00964;2024-08-02;DEVOLUCION;CLP;6400269
NC-00085;3085;DOC-2024-01106;2024-08-02;DEVOLUCION;CLP;3637014
NC-00014;3014;DOC-2024-01761;2024-08-07;ANULACION;CLP;5411024
NC-00215;3215;DOC-2024-00534;2024-08-08;AJUSTE_CALIDAD;CLP;2102412
NC-00078;3078;DOC-2024-01957;2024-08-13;DESCUENTO;CLP;610506
NC-00084;3084;DOC-2024-01226;2024-08-15;DESCUENTO;CLP;1573377
NC-00216;3216;DOC-2024-01386;2024-08-21;AJUSTE_CALIDAD;CLP;19176543
NC-00081;3081;DOC-2024-00051;2024-08-22;DESCUENTO;USD;14735.55
NC-00088;3088;DOC-2024-00251;2024-08-28;DEVOLUCION;USD;26209.14
NC-00217;3217;DOC-2024-00962;2024-09-07;AJUSTE_CALIDAD;CLP;2305865
NC-00015;3015;DOC-2024-01857;2024-09-08;ANULACION;CLP;25307525
NC-00017;3017;DOC-2024-01836;2024-09-13;ANULACION;CLP;48680707
NC-00093;3093;DOC-2024-01561;2024-09-16;DESCUENTO;CLP;85637
NC-00016;3016;DOC-2024-00788;2024-09-17;ANULACION;CLP;6949915
NC-00083;3083;DOC-2024-00046;2024-09-18;DESCUENTO;USD;7866.09
NC-00091;3091;DOC-2024-01904;2024-09-25;DESCUENTO;CLP;2331458
NC-00018;3018;DOC-2024-00218;2024-09-26;ANULACION;USD;15268.85
NC-00090;3090;DOC-2024-00214;2024-09-29;DESCUENTO;USD;8084.44
NC-00097;3097;DOC-2024-00220;2024-10-01;DEVOLUCION;USD;19036.35
NC-00095;3095;DOC-2024-01013;2024-10-05;DESCUENTO;CLP;542247
NC-00099;3099;DOC-2024-00587;2024-10-10;DEVOLUCION;CLP;254444
NC-00089;3089;DOC-2024-01548;2024-10-12;DESCUENTO;CLP;564141
NC-00094;3094;DOC-2024-00715;2024-10-13;DEVOLUCION;CLP;1459717
NC-00096;3096;DOC-2024-01738;2024-10-13;DESCUENTO;CLP;255734
NC-00020;3020;DOC-2024-01631;2024-10-30;ANULACION;CLP;2388651
NC-00098;3098;DOC-2024-01037;2024-11-02;DESCUENTO;CLP;340660
NC-00092;3092;DOC-2024-01947;2024-11-05;DEVOLUCION;CLP;3119338
NC-00019;3019;DOC-2024-00830;2024-11-08;ANULACION;CLP;4513372
NC-00101;3101;DOC-2024-00355;2024-11-17;DESCUENTO;USD;4216.47
NC-00104;3104;DOC-2024-00704;2024-11-23;DESCUENTO;CLP;216691
NC-00218;3218;DOC-2024-01423;2024-11-23;AJUSTE_CALIDAD;CLP;1412400
NC-00107;3107;DOC-2024-00701;2024-11-25;DEVOLUCION;CLP;21657347
NC-00106;3106;DOC-2024-00279;2024-11-26;DESCUENTO;USD;4510.77
